Id,Category
1139,Rainbow Lorikeet
1140,Spotted Pardalote
1141,Galah
1142,Rainbow Lorikeet
1143,Dusky Moorhen
1144,Dusky Moorhen
1145,Rainbow Lorikeet
1146,Rainbow Lorikeet
1147,Rainbow Lorikeet
1148,Galah
1149,Rainbow Lorikeet
1150,Spotted Pardalote
1151,Galah
1152,Rainbow Lorikeet
1153,Rainbow Lorikeet
1154,Galah
1155,Rainbow Lorikeet
1156,Rainbow Lorikeet
1157,Dusky Moorhen
1158,Spotted Pardalote
1159,Rainbow Lorikeet
1160,Spotted Pardalote
1161,Rainbow Lorikeet
1162,Rainbow Lorikeet
1163,Rainbow Lorikeet
1164,Spotted Pardalote
1165,Spotted Pardalote
1166,Rainbow Lorikeet
1167,Rainbow Lorikeet
1168,Dusky Moorhen
